
> admin@0.1.0 dev
> next dev

⚠ Warning: Next.js inferred your workspace root, but it may not be correct.
 We detected multiple lockfiles and selected the directory of /Users/User/package-lock.json as the root directory.
 To silence this warning, set `turbopack.root` in your Next.js config, or consider removing one of the lockfiles if it's not needed.
   See https://nextjs.org/docs/app/api-reference/config/next-config-js/turbopack#root-directory for more information.
 Detected additional lockfiles: 
   * /Users/User/daw-store/admin/package-lock.json

▲ Next.js 16.1.1 (Turbopack)
- Local:         http://localhost:3001
- Network:       http://192.168.0.171:3001
- Environments: .env.local

✓ Starting...
 GET /settings 200 in 19ms (compile: 3ms, render: 16ms)
 GET /dashboard 200 in 16ms (compile: 1937µs, render: 14ms)
 GET /orders 200 in 23ms (compile: 4ms, render: 19ms)
 GET /orders 200 in 418ms (compile: 29ms, render: 389ms)
 GET /orders 200 in 88ms (compile: 16ms, render: 73ms)
 GET /orders 200 in 38ms (compile: 5ms, render: 33ms)
 GET /orders 200 in 37ms (compile: 2ms, render: 35ms)
 GET /orders 200 in 44ms (compile: 2ms, render: 41ms)
 GET /orders 200 in 43ms (compile: 4ms, render: 39ms)
 GET /orders 200 in 73ms (compile: 21ms, render: 52ms)
 GET /orders 200 in 40ms (compile: 3ms, render: 36ms)
 GET /orders 200 in 40ms (compile: 5ms, render: 35ms)
 GET /orders 200 in 36ms (compile: 2ms, render: 33ms)
 GET /orders 200 in 34ms (compile: 1669µs, render: 32ms)
 GET /products 200 in 26ms (compile: 6ms, render: 20ms)
 GET /dashboard 200 in 26ms (compile: 6ms, render: 20ms)
 GET /newsletter 200 in 26ms (compile: 5ms, render: 21ms)
 GET /settings 200 in 27ms (compile: 7ms, render: 20ms)
 GET /products 200 in 17ms (compile: 3ms, render: 14ms)
 GET /orders 200 in 16ms (compile: 2ms, render: 14ms)
 GET /orders 200 in 44ms (compile: 5ms, render: 39ms)
 GET /orders 200 in 36ms (compile: 3ms, render: 33ms)
✓ Compiled in 177ms
 GET /orders 200 in 527ms (compile: 225ms, render: 303ms)
 GET /dashboard 200 in 46ms (compile: 27ms, render: 19ms)
 GET /products 200 in 34ms (compile: 16ms, render: 17ms)
 GET /orders 200 in 18ms (compile: 3ms, render: 15ms)
 GET /customers 200 in 38ms (compile: 16ms, render: 22ms)
 GET /newsletter 200 in 23ms (compile: 7ms, render: 15ms)
 GET /settings 200 in 35ms (compile: 19ms, render: 16ms)
 GET /dashboard 200 in 17ms (compile: 1863µs, render: 15ms)
 GET /orders 200 in 21ms (compile: 4ms, render: 18ms)
 GET /orders 200 in 75ms (compile: 4ms, render: 71ms)
 GET /dashboard 200 in 42ms (compile: 5ms, render: 37ms)
 GET /dashboard 200 in 144ms (compile: 58ms, render: 87ms)
 GET /products 200 in 33ms (compile: 7ms, render: 26ms)
 GET /orders 200 in 29ms (compile: 7ms, render: 22ms)
 GET /products 200 in 18ms (compile: 3ms, render: 15ms)
 GET /orders 200 in 16ms (compile: 2ms, render: 14ms)
 GET /dashboard 200 in 17ms (compile: 3ms, render: 14ms)
 GET /customers 200 in 32ms (compile: 9ms, render: 23ms)
 GET /newsletter 200 in 28ms (compile: 6ms, render: 23ms)
 GET /settings 200 in 27ms (compile: 5ms, render: 22ms)
 GET /dashboard 200 in 17ms (compile: 3ms, render: 14ms)
 GET /newsletter 200 in 19ms (compile: 4ms, render: 14ms)
 GET /customers 200 in 17ms (compile: 3ms, render: 14ms)
 GET /orders 200 in 16ms (compile: 2ms, render: 14ms)
 GET /products 200 in 18ms (compile: 3ms, render: 15ms)
 GET /dashboard 200 in 17ms (compile: 3ms, render: 14ms)
